id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
gliese-1061,Gliese 1061,11.9839,Hor,53.99875,-44.5125,M5.5V,0.113,13.09,15.26,272.1615
yz-ceti,YZ Ceti,12.1222,Cet,18.127499999999998,-16.99888888888889,M4.5V,0.13,12.02,14.17,269.0573
luytens-star,Luyten's Star,12.3485,CMi,111.85208333333333,5.225833333333333,M3.5Vn,0.26,9.86,11.97,264.1269
teegardens-star,Teegarden's Star,12.497,Ari,43.25375,16.88138888888889,M6.5V,0.08,15.14,17.22,260.9884
kapteyns-star,Kapteyn's Star,12.8308,Pic,77.91916666666667,-45.01833333333333,M1.5VI,0.281,8.84,10.87,254.1986
ax-microscopii,AX Microscopii,12.9472,Mic,319.31375,-38.8675,M0.0V,0.6,6.67,8.69,251.9124
scr-1845-6357-a,SCR 1845-6357 A,13.0638,Pav,281.27208333333334,-63.96333333333334,M8.5V,0.07,17.39,19.41,249.6651
scr-1845-6357-b,SCR 1845-6357 B,13.0638,Pav,281.2608333333333,-63.964444444444446,T6,0.03,13.3 J,15.3 J,249.6651
kruger-60-a,Kruger 60 A,13.0724,Cep,336.99791666666664,57.69583333333333,M3.0V,0.271,9.79,11.76,249.5
kruger-60-b,Kruger 60 B,13.0724,Cep,336.99791666666664,57.69583333333333,M4.0V,0.176,11.41,13.38,249.5
denis-j1048-3956,DENIS J1048−3956,13.1932,Ant,162.06125000000003,-39.934999999999995,M8.5V,0.08,17.39,19.37,247.2156
ross-614-a,Ross 614 A,13.363,Mon,97.3475,-2.8138888888888887,M4.5V,0.223,11.15,13.09,244.07
ross-614-b,Ross 614 B,13.363,Mon,97.3475,-2.8138888888888887,M5.5V,0.111,14.23,16.17,244.07
ugps-j0722-0540,UGPS J0722-0540&,13.43,Mon,110.61375,-5.675000000000001,T9,0.01,16.52 J,18.45 J,242.8
wolf-1061,Wolf 1061,14.05,Oph,247.57541666666665,-12.6625,M3.0V,0.294,10.07,11.93,232.139
van-maanens-star,Van Maanen's Star,14.0718,Psc,12.29125,5.3886111111111115,DZ7,0.67,12.38,14.21,231.78
gliese-1,Gliese 1,14.1747,Scl,1.3516666666666666,-37.3575,M1.5 V,0.45,8.55,10.35,230.097
tz-arietis,TZ Arietis,14.578,Ari,30.055,13.052222222222223,M4.5V,0.14,12.27,14.03,223.7321
fl-virginis-a,FL Virginis A,14.595,Vir,188.32166666666666,9.020833333333334,M5.5Ve,0.143,13.18,14.97,223.4775
